p0,m0,pstar,mstar,mortparms,fertparm,rho,phi,fertscale,mortscale,Y,Y.CV,Yac,Am,J,h,N.guess,span
0.853355741,0,0.85979766,0,3.732375014,4.579627264,0.29443447,0,0.1,0.1,21000,0.3,0.25,1000,2785,4.72E-04,8000,1200
0.975599817,0,0.976521264,0,2.338777398,,0.423698384,0,,,,,,,,,,
0.975599817,0,0.977477578,0,2.76176285,,0.486535009,0,,,,,,,,,,
0.975599817,0,0.977477578,0,2.76176285,,0.552962298,0,,,,,,,,,,
0.975599817,0,0.977477578,0,2.76176285,,0.608617594,0,,,,,,,,,,
0.994479908,0,0.994868104,0,1.877784938,,0.657091562,0,,,,,,,,,,
0.994479908,0,0.994868104,0,1.877784938,,0.701974865,0,,,,,,,,,,
0.994479908,0,0.994868104,0,1.877784938,,0.745062837,0,,,,,,,,,,
0.994479908,0,0.994868104,0,1.877784938,,0.784560144,0,,,,,,,,,,
0.994479908,0,0.994868104,0,1.877784938,,0.824057451,0,,,,,,,,,,
0.99570279,0,0.996001308,0,1.752430893,,0.861759425,1,,,,,,,,,,
0.99570279,0,0.996001308,0,1.752430893,,0.888689408,1,,,,,,,,,,
0.99570279,0,0.996001308,0,1.752430893,,0.91561939,1,,,,,,,,,,
0.99570279,0,0.996001308,0,1.752430893,,0.942549372,1,,,,,,,,,,
0.99570279,0.057805341,0.996001308,0.058951405,1.752430893,,0.969479354,1,,,,,,,,,,
0.994234276,0.057805341,0.994580902,0.058951405,1.823444634,,0.987432675,1,,,,,,,,,,
0.994234276,0.057805341,0.994580902,0.058951405,1.823444634,,0.982046679,1,,,,,,,,,,
0.994234276,0.057805341,0.994580902,0.058951405,1.823444634,,0.976660682,1,,,,,,,,,,
0.994234276,0.057805341,0.994580902,0.058951405,1.823444634,,1,1,,,,,,,,,,
0.994234276,0.106586219,0.994580902,0.108699426,1.823444634,,0.937163375,1,,,,,,,,,,
0.992677282,0.106586219,0.993122862,0.108699426,1.946337089,,0.933572711,1,,,,,,,,,,
0.992677282,0.106586219,0.993122862,0.108699426,1.946337089,,0.933572711,1,,,,,,,,,,
0.992677282,0.106586219,0.993122862,0.108699426,1.946337089,,0.933572711,1,,,,,,,,,,
0.992677282,0.106586219,0.993122862,0.108699426,1.946337089,,0.933572711,1,,,,,,,,,,
