p0,m0,pstar,mstar,mortparms,fertparm,rho,phi,fertscale,mortscale,Y,Y.CV,Yac,Am,J,h,N.guess,span
0.326586913,0,0.334190007,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.326586913,0,0.334190007,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.171670443,0,0.17566701,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.171670443,0,0.17566701,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.171670443,0,0.17566701,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.171670443,0,0.17566701,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.171670443,0,0.17566701,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.061780085,0,0.063218354,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.061780085,0,0.063218354,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.061780085,0,0.063218354,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.061780085,0,0.063218354,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.061780085,0,0.063218354,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.012651459,0,0.012945991,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.012651459,0,0.012945991,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.012651459,0,0.012945991,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.012651459,0,0.012945991,0,4.73668746,,0.653500898,0,,,,,,,,,,
0,0,0,0,4.73668746,,0.653500898,0,,,,,,,,,,
